Designator,Mid X,Mid Y,Rotation,Layer
R216,-432.275,-451.2,-90.0,top
R217,-358.25,-511.0,0.0,top
R218,-287.2,-529.4625,-90.0,bottom
R219,-284.2,-529.4625,0.0,top
R22,-459.0,-496.0875,0.0,top
R220,-399.2,-480.0,90.0,top
R221,-432.275,-441.2,0.0,bottom
R222,-432.275,-438.2,90.0,top
R223,-284.2,-529.4625,90.0,bottom
R224,-432.275,-438.2,180.0,bottom
R225,-297.2,-493.4625,180.0,top
R226,-297.2,-469.4625,180.0,top
R227,-358.25,-499.0,0.0,top
R228,-358.25,-491.0,0.0,top
R229,-297.0,-523.4625,180.0,top
R23,-459.0,-520.0875,0.0,top
R230,-438.275,-451.2,-90.0,top
R231,-358.25,-509.0,0.0,top
R232,-287.2,-523.4625,-90.0,bottom
R233,-284.2,-523.4625,0.0,top
R234,-401.2,-480.0,90.0,top
R235,-438.275,-441.2,0.0,bottom
R236,-438.275,-438.2,90.0,top
R237,-284.2,-523.4625,90.0,bottom
R238,-438.275,-438.2,180.0,bottom
R239,-297.2,-487.4625,180.0,top
R24,-402.5125,-489.0,180.0,top
R240,-297.2,-463.4625,180.0,top
R241,-358.25,-497.0,0.0,top
R242,-358.25,-489.0,0.0,top
R243,-297.2,-511.4625,180.0,top
R244,-297.0,-517.4625,180.0,top
R245,-358.25,-507.0,0.0,top
R246,-287.2,-517.4625,-90.0,bottom
R247,-284.2,-517.4625,0.0,top
R248,-358.25,-505.0,0.0,top
R249,-284.2,-517.4625,90.0,bottom
R25,-469.0,-466.0,90.0,bottom
R250,-297.2,-481.4625,180.0,top
R251,-318.275,-451.2,-90.0,top
R252,-358.25,-495.0,0.0,top
R253,-361.2,-480.0,90.0,top
R254,-297.2,-505.4625,180.0,top
R255,-420.275,-451.2,-90.0,top
R256,-395.2,-480.0,90.0,top
R257,-420.275,-441.2,0.0,bottom
R258,-420.275,-438.2,90.0,top
R259,-358.25,-503.0,0.0,top
R26,-472.0,-466.0,180.0,top
R260,-420.275,-438.2,180.0,bottom
R261,-324.275,-451.2,-90.0,top
R262,-348.275,-451.2,-90.0,top
R263,-372.275,-451.2,-90.0,top
R264,-396.275,-451.2,-90.0,top
R265,-363.2,-480.0,90.0,top
R266,-371.2,-480.0,90.0,top
R267,-379.2,-480.0,90.0,top
R268,-387.2,-480.0,90.0,top
R269,-330.275,-451.2,-90.0,top
R27,-402.5,-499.0,180.0,top
R270,-354.275,-451.2,-90.0,top
R271,-378.275,-451.2,-90.0,top
R272,-402.275,-451.2,-90.0,top
R273,-365.2,-480.0,90.0,top
R274,-373.2,-480.0,90.0,top
R275,-381.2,-480.0,90.0,top
R276,-389.2,-480.0,90.0,top
R277,-336.275,-451.2,-90.0,top
R278,-360.275,-451.2,-90.0,top
R279,-384.275,-451.2,-90.0,top
R28,-469.0,-496.0,90.0,bottom
R280,-408.275,-451.2,-90.0,top
R281,-367.2,-480.0,90.0,top
R282,-375.2,-480.0,90.0,top
R283,-383.2,-480.0,90.0,top
R284,-391.2,-480.0,90.0,top
R285,-342.275,-451.2,-90.0,top
R286,-366.275,-451.2,-90.0,top
R287,-390.275,-451.2,-90.0,top
R288,-414.275,-451.2,-90.0,top
R289,-369.2,-480.0,90.0,top
R29,-472.0,-496.0,180.0,top
R290,-377.2,-480.0,90.0,top
R291,-385.2,-480.0,90.0,top
R292,-393.2,-480.0,90.0,top
R3,-308.6,-448.0,0.0,top
R30,-402.5,-507.0,180.0,top
R31,-469.0,-520.0,90.0,bottom
R32,-472.0,-520.0,180.0,top
R33,-472.0,-466.0,-90.0,bottom
R34,-472.0,-496.0,-90.0,bottom
R35,-472.0,-520.0,-90.0,bottom
R36,-459.0,-472.0875,0.0,top
R37,-459.0,-502.0875,0.0,top
R38,-459.0,-526.0875,0.0,top
R39,-402.5,-491.0,180.0,top
R4,-475.0375,-441.5,0.0,top
R40,-469.0,-472.0,90.0,bottom
R41,-472.0,-472.0,180.0,top
R42,-402.5,-501.0,180.0,top
R43,-469.0,-502.0,90.0,bottom
R44,-472.0,-502.0,180.0,top
R45,-402.5,-509.0,180.0,top
R46,-469.0,-526.0,90.0,bottom
R47,-472.0,-526.0,180.0,top
R48,-472.0,-472.0,-90.0,bottom
R49,-472.0,-502.0,-90.0,bottom
R5,-477.0375,-447.8,-90.0,top
R50,-472.0,-526.0,-90.0,bottom
R51,-459.0,-478.0875,0.0,top
R52,-459.0,-508.0875,0.0,top
R53,-459.0,-532.0875,0.0,top
R54,-402.5,-493.0,180.0,top
R55,-469.0,-478.0,90.0,bottom
R56,-472.0,-478.0,180.0,top
R57,-402.5,-503.0,180.0,top
R58,-469.0,-508.0,90.0,bottom
R59,-472.0,-508.0,180.0,top
R6,-459.0,-460.0,0.0,top
R60,-402.5,-511.0,180.0,top
R61,-469.0,-532.0,90.0,bottom
R62,-471.9625,-532.0,180.0,top
R63,-472.0,-478.0,-90.0,bottom
R64,-472.0,-508.0,-90.0,bottom
R65,-472.0,-532.0,-90.0,bottom
R66,-459.0,-484.0875,0.0,top
R67,-402.5,-495.0,180.0,top
R68,-469.0,-484.0,90.0,bottom
R69,-472.0,-484.0,180.0,top
R7,-459.0,-490.0875,0.0,top
R70,-472.0,-484.0,-90.0,bottom
R71,-459.0,-538.0875,0.0,top
R72,-423.0,-559.5,90.0,top
R73,-399.0,-559.5,90.0,top
R74,-402.5,-513.0,180.0,top
R75,-469.0,-538.0,90.0,bottom
R76,-472.0,-538.0,180.0,top
R77,-396.0,-519.0875,-90.0,top
R78,-423.0,-569.5,180.0,bottom
R79,-423.0,-572.5,-90.0,top
R8,-459.0,-514.0875,0.0,top
R80,-388.0,-519.0875,-90.0,top
R81,-399.0,-569.5,180.0,bottom
R82,-399.0,-572.5,-90.0,top
R83,-472.0,-538.0,-90.0,bottom
R84,-423.0,-572.5,0.0,bottom
R85,-399.0,-572.5,0.0,bottom
R86,-459.0,-544.0875,0.0,top
R87,-417.0,-559.5,90.0,top
R88,-393.0,-559.5,90.0,top
R89,-402.5,-515.0,180.0,top
R9,-402.5,-487.0,180.0,top
R90,-469.0,-544.0,90.0,bottom
R91,-472.0,-544.0,180.0,top
R92,-394.0,-519.0875,-90.0,top
R93,-417.0,-569.5,180.0,bottom
R94,-417.0,-572.5,-90.0,top
R95,-386.0,-519.0875,-90.0,top
R96,-393.0,-569.5,180.0,bottom
R97,-393.0,-572.5,-90.0,top
R98,-472.0,-544.0,-90.0,bottom
R99,-417.0,-572.5,0.0,bottom
U1,-286.0,-484.0,0.0,bottom
U10,-462.8,-515.275,0.0,bottom
U11,-462.8,-467.275,0.0,bottom
U12,-462.8,-497.275,0.0,bottom
U13,-462.8,-521.275,0.0,bottom
U14,-462.8,-473.275,0.0,bottom
U15,-462.8,-503.275,0.0,bottom
U16,-462.8,-527.275,0.0,bottom
U17,-462.8,-479.275,0.0,bottom
U18,-462.8,-509.275,0.0,bottom
U19,-462.8,-533.275,0.0,bottom
U2,-333.0,-440.0,90.0,bottom
U20,-462.8,-485.275,0.0,bottom
U21,-462.8,-539.275,0.0,bottom
U22,-421.725,-563.3,90.0,bottom
U23,-397.725,-563.3,90.0,bottom
U24,-462.8,-545.275,0.0,bottom
U25,-415.725,-563.3,90.0,bottom
U26,-391.725,-563.3,90.0,bottom
U27,-439.725,-563.3,90.0,bottom
U28,-409.725,-563.3,90.0,bottom
U29,-385.725,-563.3,90.0,bottom
U3,-381.675,-501.0,0.0,top
U30,-433.725,-563.3,90.0,bottom
U31,-403.725,-563.3,90.0,bottom
U32,-379.725,-563.3,90.0,bottom
U33,-427.725,-563.3,90.0,bottom
U34,-373.725,-563.3,90.0,bottom
U35,-343.725,-563.3,90.0,bottom
U36,-319.725,-563.3,90.0,bottom
U37,-367.725,-563.3,90.0,bottom
U38,-337.725,-563.3,90.0,bottom
U39,-293.2,-552.1875,180.0,bottom
U4,-382.0,-440.0,90.0,bottom
U40,-361.725,-563.3,90.0,bottom
U41,-331.725,-563.3,90.0,bottom
U42,-293.2,-546.1875,180.0,bottom
U43,-355.725,-563.3,90.0,bottom
U44,-325.725,-563.3,90.0,bottom
U45,-293.2,-540.1875,180.0,bottom
